Batch Variation,Group,Reference_DOI,Reference_location,Cat_Structure,Catalyst,Substrate,Ligand,Oxidant,Solvent,Solv_opt_freq20,Solv_opt_freq25,Solv_Hbond_ac,Solv_Hbond_bs,Solv_surf_tens,Solv_diele_cst,Solv_aromcity,Solv_elect_halo,Temp_K,Yield,EE,Configuration,Substrate_quant_mmol,Catalyst_quant_mmol,Ligand_quant_mmol,Oxidant_quant_mmol,Additive_quant_mL,Solution_vol_mL,Time_h
197,11,10.1016/j.ica.2010.04.046,Table6,VO(acac)2,Monfared_C0,Monfared_S4,Monfared_L1,H2O2,ACN,1.3442,1.3416,0.07,0.32,41.25,35.688,0,0,333.15,74,98,NA,1,0.0025,NA,1,NA,4,4
198,11,10.1016/j.ica.2010.04.046,Table6,VO(acac)2,Monfared_C0,Monfared_S5,Monfared_L1,H2O2,ACN,1.3442,1.3416,0.07,0.32,41.25,35.688,0,0,333.15,25,25,NA,1,0.0025,NA,1,NA,4,4
199,11,10.1016/j.ica.2010.04.046,Table6,VO(acac)2,Monfared_C0,Monfared_S6,Monfared_L1,H2O2,ACN,1.3442,1.3416,0.07,0.32,41.25,35.688,0,0,333.15,69,74,NA,1,0.0025,NA,1,NA,4,4
200,11,10.1016/j.ica.2010.04.046,Table6,VO(acac)2,Monfared_C0,Monfared_S7,Monfared_L1,H2O2,ACN,1.3442,1.3416,0.07,0.32,41.25,35.688,0,0,333.15,75,75,NA,1,0.0025,NA,1,NA,4,4
201,12,10.1021/jo9821933,Table1,VO(acac)2,Murase_C1,Murase_S1,Murase_L1,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,80,25,2S3S,0.254,0.0032,0.0095,0.381,NA,2,144
202,12,10.1021/jo9821933,Table1,VO(acac)2,Murase_C1,Murase_S1,Murase_L2,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,80,54,2S3S,0.254,0.0032,0.0095,0.381,NA,2,192
203,12,10.1021/jo9821933,Table1,VO(acac)2,Murase_C1,Murase_S1,Murase_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,80,65,2S3S,0.254,0.0032,0.0095,0.381,NA,2,456
204,12,10.1021/jo9821933,Table1,VO(OiPr)3,Murase_C2,Murase_S1,Murase_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,80,68,2S3S,0.254,0.0032,0.0095,0.381,NA,2,72
205,12,10.1021/jo9821933,Table1,VO(OiPr)3,Murase_C2,Murase_S1,Murase_L3,TBHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,233.15,80,40,2S3S,0.254,0.0032,0.0095,0.381,NA,2,10
206,12,10.1021/jo9821933,Table1,VO(OiPr)3,Murase_C2,Murase_S1,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,80,86,2S3S,0.254,0.0032,0.0095,0.381,NA,2,68
207,12,10.1021/jo9821933,Table1,VO(OiPr)3,Murase_C2,Murase_S1,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,80,83,2S3S,0.254,0.0051,0.0076,0.381,NA,2,24
208,12,10.1021/jo9821933,Table1,VO(OiPr)3,Murase_C2,Murase_S1,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,80,73,2S3S,0.254,0.0057,0.007,0.381,NA,2,24
209,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S10,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,53,39,2S,0.254,0.0051,0.0076,0.381,NA,2,168
210,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S11,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,16,40,2S,0.254,0.0051,0.0076,0.381,NA,2,168
211,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S2,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,80,66,SS,0.254,0.0051,0.0076,0.381,NA,2,72
212,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S3,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,87,41,SR,0.254,0.0051,0.0076,0.381,NA,2,72
213,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S4,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,70,78,SS,0.254,0.0051,0.0076,0.381,NA,2,72
214,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S5,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,96,91,SS,0.254,0.0051,0.0076,0.381,NA,2,72
215,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S6,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,61,87,SS,0.254,0.0051,0.0076,0.381,NA,2,72
216,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S7,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,59,94,SS,0.254,0.0051,0.0076,0.381,NA,2,72
217,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S8,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,14,71,SS,0.254,0.0051,0.0076,0.381,NA,2,168
218,12,10.1021/jo9821933,Table2,VO(OiPr)3,Murase_C2,Murase_S9,Murase_L3,TrOOH,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,253.15,19,38,SR,0.254,0.0051,0.0076,0.381,NA,2,168
220,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L10,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,100,NA,NA,1,0.2,NA,1.5,NA,5,4
221,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L11,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,100,NA,NA,1,0.2,NA,1.5,NA,5,5
222,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L12,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,86,NA,NA,1,0.2,NA,1.5,NA,5,3
223,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L13,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,92,NA,NA,1,0.2,NA,1.5,NA,5,5
224,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L14,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,95,NA,NA,1,0.2,NA,1.5,NA,5,5
225,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L15,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,95,NA,NA,1,0.2,NA,1.5,NA,5,5
226,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L2,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,99,NA,NA,1,0.2,NA,1.5,NA,5,0.5
227,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L3,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,99,NA,NA,1,0.2,NA,1.5,NA,5,0.5
228,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L4,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,89,NA,NA,1,0.2,NA,1.5,NA,5,0.5
229,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L5,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,92,NA,NA,1,0.2,NA,1.5,NA,5,1.5
230,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L6,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,100,NA,NA,1,0.2,NA,1.5,NA,5,9
231,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L7,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,100,NA,NA,1,0.2,NA,1.5,NA,5,7
232,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L8,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,94,NA,NA,1,0.2,NA,1.5,NA,5,2
233,13,10.1007/s10562-010-0281-8,Table1,VOSO4,Pereira_C0,Pereira_S1,Pereira_L9,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,100,NA,NA,1,0.2,NA,1.5,NA,5,4
219,13,10.1007/s10562-010-0281-8,Table1,VO(acac)2,Pereira_C1,Pereira_S1,NA,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,298.15,100,NA,NA,1,0.2,NA,1.5,NA,5,0.25
234,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S1,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,373.15,78,NA,NA,10,0.0377,NA,10,NA,2,2
235,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S1,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,373.15,64,NA,NA,10,0.0377,NA,15,NA,2,0.5
236,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S1,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,373.15,83,NA,NA,70,0.0377,NA,10,NA,2,0.416666667
237,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S2,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,353.15,100,NA,NA,60,0.0377,NA,4,NA,2,0.5
238,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S3,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,353.15,100,NA,NA,40,0.0377,NA,4,NA,2,0.5
239,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S4,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,353.15,100,NA,NA,40,0.0377,NA,4,NA,2,0.5
240,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S5,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,353.15,51,NA,NA,40,0.0377,NA,4,NA,2,0.5
241,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S6,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,353.15,51,NA,NA,20,0.0377,NA,2,NA,2,0.5
242,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S7,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,353.15,92,NA,NA,40,0.0377,NA,4,NA,2,0.5
243,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S8,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,353.15,60,NA,NA,30,0.0188,NA,10,NA,2,1
244,14,10.1021/jo00831a027,Table 5,VO(acac)2,Sheng_C1,Sheng_S9,NA,TBHP,THF,1.405,1.4044,0,0.48,39.44,7.4257,0,0,353.15,91,NA,NA,50,0.0377,NA,10,NA,2,1
245,15,10.1021/ja067495y,Table1,VO(OiPr)3,Zhang_B_C1,Zhang_B_S1,Zhang_B_L1,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,52,71,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
246,15,10.1021/ja067495y,Table1,VO(OiPr)3,Zhang_B_C1,Zhang_B_S1,Zhang_B_L2,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,56,90,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
247,15,10.1021/ja067495y,Table1,VO(OiPr)3,Zhang_B_C1,Zhang_B_S1,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,61,96,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
248,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S10,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,90,99,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
249,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S2,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,90,96,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
250,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S3,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,85,99,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
251,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S4,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,85,93,3R4R,1.05,0.0104,0.021,1.5,NA,0.5,24
252,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S5,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,89,96,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
253,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S6,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,92,98,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
254,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S7,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,92,95,3R4S,1.05,0.0104,0.021,1.5,NA,0.5,24
255,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S8,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,90,97,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
256,15,10.1021/ja067495y,Table2,VO(OiPr)3,Zhang_B_C1,Zhang_B_S9,Zhang_B_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,298.15,91,99,NA,1.05,0.0104,0.021,1.5,NA,0.5,24
257,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S1,Zhang_L1,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,91,97,NA,1.09,0.0314,NA,1.59,NA,1.22,48
258,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S10,Zhang_L3,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,24,97,NA,1.09,0.0314,NA,1.59,NA,1.22,120
259,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S11,Zhang_L3,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,64,96,NA,1.09,0.0314,NA,1.59,NA,1.22,48
260,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S12,Zhang_L3,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,62,95,NA,1.09,0.0314,NA,1.59,NA,1.22,48
261,16,10.1002/anie.200500938,Table2,VO(OiPr)3,Zhang_C0,Zhang_S13,Zhang_L2,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,78,97,NA,1.09,0.0314,NA,1.59,NA,1.22,12
262,16,10.1002/anie.200500938,Table2,VO(OiPr)3,Zhang_C0,Zhang_S14,Zhang_L1,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,50,93,NA,1.09,0.0314,NA,1.59,NA,1.22,12
263,16,10.1002/anie.200500938,Table2,VO(OiPr)3,Zhang_C0,Zhang_S15,Zhang_L3,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,71,92,NA,1.09,0.0314,NA,1.59,NA,1.22,12
264,16,10.1002/anie.200500938,Table2,VO(OiPr)3,Zhang_C0,Zhang_S16,Zhang_L1,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,68,95,NA,1.09,0.0314,NA,1.59,NA,1.22,12
265,16,10.1002/anie.200500938,Table2,VO(OiPr)3,Zhang_C0,Zhang_S17,Zhang_L2,CHP,toluene,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0,273.15,73,94,NA,1.09,0.0314,NA,1.59,NA,1.22,12
266,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S2,Zhang_L1,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,84,97,NA,1.09,0.0314,NA,1.59,NA,1.22,48
267,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S3,Zhang_L1,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,53,97,NA,1.09,0.0314,NA,1.59,NA,1.22,60
268,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S4,Zhang_L1,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,56,95,NA,1.09,0.0314,NA,1.59,NA,1.22,72
269,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S5,Zhang_L1,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,51,95,NA,1.09,0.0314,NA,1.59,NA,1.22,72
270,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S6,Zhang_L1,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,273.15,73,95,NA,1.09,0.0314,NA,1.59,NA,1.22,48
271,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S7,Zhang_L1,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,79,95,NA,1.09,0.0314,NA,1.59,NA,1.22,48
272,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S8,Zhang_L2,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,253.15,68,95,NA,1.09,0.0314,NA,1.59,NA,1.22,48
273,16,10.1002/anie.200500938,Table1,VO(OiPr)3,Zhang_C0,Zhang_S9,Zhang_L3,TBHP,dichloromethane,1.4242,1.4241,0.1,0.05,39.15,8.93,0,0.667,273.15,60,95,NA,1.09,0.0314,NA,1.59,NA,1.22,72
