Engineered,Normal,Ligand,Catalyst,Substrate,Solvent,Reaction,VSA,Structural,Electronic,Experimental
,EState_VSA8_Sol,Kappa1_Lig,VSA_EState1_Cat,VSA_EState7_Sub,Solvent_acetone,,SlogP_VSA1_Sub,NumAliphaticHeterocycles_Sub,,
,EState_VSA8_Sub,Kappa2_Lig,VSA_EState10_Cat,VSA_EState8_Sub,Solvent_ACN,,SlogP_VSA10_Cat,NumAliphaticRings_Cat,,
,EState_VSA9_Cat,Kappa3_Lig,VSA_EState2_Cat,VSA_EState9_Sub,Solvent_chloroform,,SlogP_VSA10_Lig,NumAliphaticRings_Lig,,
,EState_VSA9_Lig,MaxAbsEStateIndex_Lig,VSA_EState3_Cat,Substrate_quant_mmol,Solvent_dichloromethane,,SlogP_VSA10_Sol,NumAliphaticRings_Sol,,
,EState_VSA9_Sol,MaxAbsPartialCharge_Lig,VSA_EState4_Cat,,Solvent_ethyl_acetate,,SlogP_VSA10_Sub,NumAliphaticRings_Sub,,
,EState_VSA9_Sub,MaxEStateIndex_Lig,VSA_EState5_Cat,,Solvent_Group,,SlogP_VSA11_Cat,NumAromaticCarbocycles_Cat,,
,Group,MaxPartialCharge_Lig,VSA_EState6_Cat,,Solvent_THF,,SlogP_VSA11_Lig,NumAromaticCarbocycles_Lig,,
,HallKierAlpha_Cat,MinAbsEStateIndex_Lig,VSA_EState7_Cat,,Solvent_toluene,,SlogP_VSA11_Sol,NumAromaticCarbocycles_Sol,,
,HallKierAlpha_Lig,MinAbsPartialCharge_Lig,VSA_EState8_Cat,,Solvent_water,,SlogP_VSA11_Sub,NumAromaticCarbocycles_Sub,,
,HallKierAlpha_Sol,MinEStateIndex_Lig,VSA_EState9_Cat,,TPSA_Sol,,SlogP_VSA12_Cat,NumAromaticHeterocycles_Cat,,
,HallKierAlpha_Sub,MinPartialCharge_Lig,,,VSA_EState1_Sol,,SlogP_VSA12_Lig,NumAromaticHeterocycles_Lig,,
,HeavyAtomCount_Cat,MolLogP_Lig,,,VSA_EState10_Sol,,SlogP_VSA12_Sol,NumAromaticHeterocycles_Sol,,
,HeavyAtomCount_Lig,MolMR_Lig,,,VSA_EState2_Sol,,SlogP_VSA12_Sub,NumAromaticHeterocycles_Sub,,
,HeavyAtomCount_Sol,MolWt_Lig,,,VSA_EState3_Sol,,SlogP_VSA2_Cat,NumAromaticRings_Cat,,
,HeavyAtomCount_Sub,NHOHCount_Lig,,,VSA_EState4_Sol,,SlogP_VSA2_Lig,NumAromaticRings_Lig,,
,HeavyAtomMolWt_Cat,NOCount_Lig,,,VSA_EState5_Sol,,SlogP_VSA2_Sol,NumAromaticRings_Sol,,
,HeavyAtomMolWt_Lig,NumAliphaticCarbocycles_Lig,,,VSA_EState6_Sol,,SlogP_VSA2_Sub,NumAromaticRings_Sub,,
,HeavyAtomMolWt_Sol,NumAliphaticHeterocycles_Lig,,,VSA_EState7_Sol,,SlogP_VSA3_Cat,NumHAcceptors_Cat,,
,HeavyAtomMolWt_Sub,NumAliphaticRings_Lig,,,VSA_EState8_Sol,,SlogP_VSA3_Lig,NumHAcceptors_Lig,,
,Kappa1_Cat,NumAromaticCarbocycles_Lig,,,VSA_EState9_Sol,,SlogP_VSA3_Sol,NumHAcceptors_Sol,,
,Kappa1_Lig,NumAromaticHeterocycles_Lig,,,,,SlogP_VSA3_Sub,NumHAcceptors_Sub,,
,Kappa1_Sol,NumAromaticRings_Lig,,,,,SlogP_VSA4_Cat,NumHDonors_Cat,,
,Kappa1_Sub,NumHAcceptors_Lig,,,,,SlogP_VSA4_Lig,NumHDonors_Lig,,
,Kappa2_Cat,NumHDonors_Lig,,,,,SlogP_VSA4_Sol,NumHDonors_Sol,,
,Kappa2_Lig,NumHeteroatoms_Lig,,,,,SlogP_VSA4_Sub,NumHDonors_Sub,,
,Kappa2_Sol,NumRadicalElectrons_Lig,,,,,SlogP_VSA5_Cat,NumHeteroatoms_Cat,,
,Kappa2_Sub,NumRotatableBonds_Lig,,,,,SlogP_VSA5_Lig,NumHeteroatoms_Lig,,
,Kappa3_Cat,NumSaturatedCarbocycles_Lig,,,,,SlogP_VSA5_Sol,NumHeteroatoms_Sol,,
,Kappa3_Lig,NumSaturatedHeterocycles_Lig,,,,,SlogP_VSA5_Sub,NumHeteroatoms_Sub,,
,Kappa3_Sol,NumSaturatedRings_Lig,,,,,SlogP_VSA6_Cat,NumRadicalElectrons_Cat,,
,Kappa3_Sub,NumValenceElectrons_Lig,,,,,SlogP_VSA6_Lig,NumRadicalElectrons_Lig,,
,Ligand_quant_mmol,PEOE_VSA1_Lig,,,,,SlogP_VSA6_Sol,NumRadicalElectrons_Sol,,
,MaxAbsEStateIndex_Cat,PEOE_VSA10_Lig,,,,,SlogP_VSA6_Sub,NumRadicalElectrons_Sub,,
,MaxAbsEStateIndex_Lig,PEOE_VSA11_Lig,,,,,SlogP_VSA7_Cat,NumRotatableBonds_Cat,,
,MaxAbsEStateIndex_Sol,PEOE_VSA12_Lig,,,,,SlogP_VSA7_Lig,NumRotatableBonds_Lig,,
,MaxAbsEStateIndex_Sub,PEOE_VSA13_Lig,,,,,SlogP_VSA7_Sol,NumRotatableBonds_Sol,,
,MaxAbsPartialCharge_Cat,PEOE_VSA14_Lig,,,,,SlogP_VSA7_Sub,NumRotatableBonds_Sub,,
,MaxAbsPartialCharge_Lig,PEOE_VSA2_Lig,,,,,SlogP_VSA8_Cat,NumSaturatedCarbocycles_Cat,,
,MaxAbsPartialCharge_Sol,PEOE_VSA3_Lig,,,,,SlogP_VSA8_Lig,NumSaturatedCarbocycles_Lig,,
,MaxAbsPartialCharge_Sub,PEOE_VSA4_Lig,,,,,SlogP_VSA8_Sol,NumSaturatedCarbocycles_Sol,,
,MaxEStateIndex_Cat,PEOE_VSA5_Lig,,,,,SlogP_VSA8_Sub,NumSaturatedCarbocycles_Sub,,
,MaxEStateIndex_Lig,PEOE_VSA6_Lig,,,,,SlogP_VSA9_Cat,NumSaturatedHeterocycles_Cat,,
,MaxEStateIndex_Sol,PEOE_VSA7_Lig,,,,,SlogP_VSA9_Lig,NumSaturatedHeterocycles_Lig,,
,MaxEStateIndex_Sub,PEOE_VSA8_Lig,,,,,SlogP_VSA9_Sol,NumSaturatedHeterocycles_Sol,,
,MaxPartialCharge_Cat,PEOE_VSA9_Lig,,,,,SlogP_VSA9_Sub,NumSaturatedHeterocycles_Sub,,
,MaxPartialCharge_Lig,SlogP_VSA1_Lig,,,,,SMR_VSA1_Cat,NumSaturatedRings_Cat,,
,MaxPartialCharge_Sol,SlogP_VSA10_Lig,,,,,SMR_VSA1_Lig,NumSaturatedRings_Lig,,
,MaxPartialCharge_Sub,SlogP_VSA11_Lig,,,,,SMR_VSA1_Sol,NumSaturatedRings_Sol,,
,MinAbsEStateIndex_Cat,SlogP_VSA12_Lig,,,,,SMR_VSA1_Sub,NumSaturatedRings_Sub,,
,MinAbsEStateIndex_Lig,SlogP_VSA2_Lig,,,,,SMR_VSA10_Cat,NumValenceElectrons_Cat,,
,MinAbsEStateIndex_Sol,SlogP_VSA3_Lig,,,,,SMR_VSA10_Lig,NumValenceElectrons_Lig,,
,MinAbsEStateIndex_Sub,SlogP_VSA4_Lig,,,,,SMR_VSA10_Sol,NumValenceElectrons_Sol,,
,MinAbsPartialCharge_Cat,SlogP_VSA5_Lig,,,,,SMR_VSA10_Sub,NumValenceElectrons_Sub,,
,MinAbsPartialCharge_Lig,SlogP_VSA6_Lig,,,,,SMR_VSA2_Cat,Cat_Structure_VCl2(salen),,
,MinAbsPartialCharge_Sol,SlogP_VSA7_Lig,,,,,SMR_VSA2_Lig,Cat_Structure_VO(acac)2,,
,MinAbsPartialCharge_Sub,SlogP_VSA8_Lig,,,,,SMR_VSA2_Sol,Cat_Structure_VO(OiPr)3,,
,MinEStateIndex_Cat,SlogP_VSA9_Lig,,,,,SMR_VSA2_Sub,Cat_Structure_VO(salen),,
,MinEStateIndex_Lig,SMR_VSA1_Lig,,,,,SMR_VSA3_Cat,Cat_Structure_VOSO4,,
,MinEStateIndex_Sol,SMR_VSA10_Lig,,,,,SMR_VSA3_Lig,Cat_Group,,
,MinEStateIndex_Sub,SMR_VSA2_Lig,,,,,SMR_VSA3_Sol,Group,,
,MinPartialCharge_Cat,SMR_VSA3_Lig,,,,,SMR_VSA3_Sub,Ligand_Barlan_L1,,
,MinPartialCharge_Lig,SMR_VSA4_Lig,,,,,SMR_VSA4_Cat,Ligand_Barlan_L2,,
,MinPartialCharge_Sol,SMR_VSA5_Lig,,,,,SMR_VSA4_Lig,Ligand_Barlan_L3,,
,MinPartialCharge_Sub,SMR_VSA6_Lig,,,,,SMR_VSA4_Sol,Ligand_Barlan_L4,,
,MolLogP_Cat,SMR_VSA7_Lig,,,,,SMR_VSA4_Sub,Ligand_Barlan_L5,,
,MolLogP_Lig,SMR_VSA8_Lig,,,,,SMR_VSA5_Cat,Ligand_Barlan_L6,,
,MolLogP_Sol,SMR_VSA9_Lig,,,,,SMR_VSA5_Lig,Ligand_Bolm_L1,,
,MolLogP_Sub,TPSA_Lig,,,,,SMR_VSA5_Sol,Ligand_Bolm_L2,,
,MolMR_Cat,VSA_EState1_Lig,,,,,SMR_VSA5_Sub,Ligand_Bolm_L3,,
,MolMR_Lig,VSA_EState10_Lig,,,,,SMR_VSA6_Cat,Ligand_Bolm_L4,,
,MolMR_Sol,VSA_EState2_Lig,,,,,SMR_VSA6_Lig,Ligand_Bolm_L5,,
,MolMR_Sub,VSA_EState3_Lig,,,,,SMR_VSA6_Sol,Ligand_Bourhani_L1,,
,MolWt_Cat,VSA_EState4_Lig,,,,,SMR_VSA6_Sub,Ligand_Bourhani_L2,,
,MolWt_Lig,VSA_EState5_Lig,,,,,SMR_VSA7_Cat,Ligand_Bourhani_L3,,
,MolWt_Sol,VSA_EState6_Lig,,,,,SMR_VSA7_Lig,Ligand_Bryliakov_L1,,
,MolWt_Sub,VSA_EState7_Lig,,,,,SMR_VSA7_Sol,Ligand_Ghaffari_L1,,
,NHOHCount_Cat,VSA_EState8_Lig,,,,,SMR_VSA7_Sub,Ligand_Ghaffari_L2,,
,NHOHCount_Lig,VSA_EState9_Lig,,,,,SMR_VSA8_Cat,Ligand_Ghaffari_L3,,
,NHOHCount_Sol,,,,,,SMR_VSA8_Lig,Ligand_Ghaffari_L4,,
,NHOHCount_Sub,,,,,,SMR_VSA8_Sol,Ligand_Ghaffari_L5,,
,NOCount_Cat,,,,,,SMR_VSA8_Sub,Ligand_Ghaffari_L6,,
,NOCount_Lig,,,,,,SMR_VSA9_Cat,Ligand_Ghaffari_L7,,
,NOCount_Sol,,,,,,SMR_VSA9_Lig,Ligand_Han_L1,,
,NOCount_Sub,,,,,,SMR_VSA9_Sol,Ligand_Han_L2,,
,NumAliphaticCarbocycles_Cat,,,,,,SMR_VSA9_Sub,Ligand_Han_L3,,
,NumAliphaticCarbocycles_Lig,,,,,,VSA_EState1_Cat,Ligand_Han_L4,,
,NumAliphaticCarbocycles_Sol,,,,,,VSA_EState1_Lig,Ligand_Han_L5,,
,NumAliphaticCarbocycles_Sub,,,,,,VSA_EState1_Sol,Ligand_Makita_L1,,
,NumAliphaticHeterocycles_Cat,,,,,,VSA_EState1_Sub,Ligand_Makita_L10,,
,NumAliphaticHeterocycles_Lig,,,,,,VSA_EState10_Cat,Ligand_Makita_L11,,
,NumAliphaticHeterocycles_Sol,,,,,,VSA_EState10_Lig,Ligand_Makita_L12,,
,NumAliphaticHeterocycles_Sub,,,,,,VSA_EState10_Sol,Ligand_Makita_L13,,
,NumAliphaticRings_Cat,,,,,,VSA_EState10_Sub,Ligand_Makita_L14,,
,NumAliphaticRings_Lig,,,,,,VSA_EState2_Cat,Ligand_Makita_L15,,
,NumAliphaticRings_Sol,,,,,,VSA_EState2_Lig,Ligand_Makita_L16,,
,NumAliphaticRings_Sub,,,,,,VSA_EState2_Sol,Ligand_Makita_L17,,
,NumAromaticCarbocycles_Cat,,,,,,VSA_EState2_Sub,Ligand_Makita_L2,,
,NumAromaticCarbocycles_Lig,,,,,,VSA_EState3_Cat,Ligand_Makita_L3,,
,NumAromaticCarbocycles_Sol,,,,,,VSA_EState3_Lig,Ligand_Makita_L4,,
,NumAromaticCarbocycles_Sub,,,,,,VSA_EState3_Sol,Ligand_Makita_L5,,
,NumAromaticHeterocycles_Cat,,,,,,VSA_EState3_Sub,Ligand_Makita_L6,,
