Engineered,Normal,Ligand,Catalyst,Substrate,Solvent,Reaction,VSA,Structural,Electronic,Experimental
,SlogP_VSA5_Sol,,,,,,,,,
,SlogP_VSA5_Sub,,,,,,,,,
,SlogP_VSA6_Cat,,,,,,,,,
,SlogP_VSA6_Lig,,,,,,,,,
,SlogP_VSA6_Sol,,,,,,,,,
,SlogP_VSA6_Sub,,,,,,,,,
,SlogP_VSA7_Cat,,,,,,,,,
,SlogP_VSA7_Lig,,,,,,,,,
,SlogP_VSA7_Sol,,,,,,,,,
,SlogP_VSA7_Sub,,,,,,,,,
,SlogP_VSA8_Cat,,,,,,,,,
,SlogP_VSA8_Lig,,,,,,,,,
,SlogP_VSA8_Sol,,,,,,,,,
,SlogP_VSA8_Sub,,,,,,,,,
,SlogP_VSA9_Cat,,,,,,,,,
,SlogP_VSA9_Lig,,,,,,,,,
,SlogP_VSA9_Sol,,,,,,,,,
,SlogP_VSA9_Sub,,,,,,,,,
,SMR_VSA1_Cat,,,,,,,,,
,SMR_VSA1_Lig,,,,,,,,,
,SMR_VSA1_Sol,,,,,,,,,
,SMR_VSA1_Sub,,,,,,,,,
,SMR_VSA10_Cat,,,,,,,,,
,SMR_VSA10_Lig,,,,,,,,,
,SMR_VSA10_Sol,,,,,,,,,
,SMR_VSA10_Sub,,,,,,,,,
,SMR_VSA2_Cat,,,,,,,,,
,SMR_VSA2_Lig,,,,,,,,,
,SMR_VSA2_Sol,,,,,,,,,
,SMR_VSA2_Sub,,,,,,,,,
,SMR_VSA3_Cat,,,,,,,,,
,SMR_VSA3_Lig,,,,,,,,,
,SMR_VSA3_Sol,,,,,,,,,
,SMR_VSA3_Sub,,,,,,,,,
,SMR_VSA4_Cat,,,,,,,,,
,SMR_VSA4_Lig,,,,,,,,,
,SMR_VSA4_Sol,,,,,,,,,
,SMR_VSA4_Sub,,,,,,,,,
,SMR_VSA5_Cat,,,,,,,,,
,SMR_VSA5_Lig,,,,,,,,,
,SMR_VSA5_Sol,,,,,,,,,
,SMR_VSA5_Sub,,,,,,,,,
,SMR_VSA6_Cat,,,,,,,,,
,SMR_VSA6_Lig,,,,,,,,,
,SMR_VSA6_Sol,,,,,,,,,
,SMR_VSA6_Sub,,,,,,,,,
,SMR_VSA7_Cat,,,,,,,,,
,SMR_VSA7_Lig,,,,,,,,,
,SMR_VSA7_Sol,,,,,,,,,
,SMR_VSA7_Sub,,,,,,,,,
,SMR_VSA8_Cat,,,,,,,,,
,SMR_VSA8_Lig,,,,,,,,,
,SMR_VSA8_Sol,,,,,,,,,
,SMR_VSA8_Sub,,,,,,,,,
,SMR_VSA9_Cat,,,,,,,,,
,SMR_VSA9_Lig,,,,,,,,,
,SMR_VSA9_Sol,,,,,,,,,
,SMR_VSA9_Sub,,,,,,,,,
,Solution_vol_mL,,,,,,,,,
,Solv_aromcity,,,,,,,,,
,Solv_diele_cst,,,,,,,,,
,Solv_elect_halo,,,,,,,,,
,Solv_Hbond_ac,,,,,,,,,
,Solv_Hbond_bs,,,,,,,,,
,Solv_opt_freq20,,,,,,,,,
,Solv_opt_freq25,,,,,,,,,
,Solv_surf_tens,,,,,,,,,
,Solvent_acetone,,,,,,,,,
,Solvent_ACN,,,,,,,,,
,Solvent_chloroform,,,,,,,,,
,Solvent_dichloromethane,,,,,,,,,
,Solvent_ethyl_acetate,,,,,,,,,
,Solvent_Group,,,,,,,,,
,Solvent_THF,,,,,,,,,
,Solvent_toluene,,,,,,,,,
,Solvent_water,,,,,,,,,
,Substrate_quant_mmol,,,,,,,,,
,Temp_K,,,,,,,,,
,Time_h,,,,,,,,,
,TPSA_Cat,,,,,,,,,
,TPSA_Lig,,,,,,,,,
,TPSA_Sol,,,,,,,,,
,TPSA_Sub,,,,,,,,,
,VSA_EState1_Cat,,,,,,,,,
,VSA_EState1_Lig,,,,,,,,,
,VSA_EState1_Sol,,,,,,,,,
,VSA_EState1_Sub,,,,,,,,,
,VSA_EState10_Cat,,,,,,,,,
,VSA_EState10_Lig,,,,,,,,,
,VSA_EState10_Sol,,,,,,,,,
,VSA_EState10_Sub,,,,,,,,,
,VSA_EState2_Cat,,,,,,,,,
,VSA_EState2_Lig,,,,,,,,,
,VSA_EState2_Sol,,,,,,,,,
,VSA_EState2_Sub,,,,,,,,,
,VSA_EState3_Cat,,,,,,,,,
,VSA_EState3_Lig,,,,,,,,,
,VSA_EState3_Sol,,,,,,,,,
,VSA_EState3_Sub,,,,,,,,,
,VSA_EState4_Cat,,,,,,,,,
,VSA_EState4_Lig,,,,,,,,,
,VSA_EState4_Sol,,,,,,,,,
,VSA_EState4_Sub,,,,,,,,,
,VSA_EState5_Cat,,,,,,,,,
,VSA_EState5_Lig,,,,,,,,,
,VSA_EState5_Sol,,,,,,,,,
,VSA_EState5_Sub,,,,,,,,,
,VSA_EState6_Cat,,,,,,,,,
,VSA_EState6_Lig,,,,,,,,,
,VSA_EState6_Sol,,,,,,,,,
,VSA_EState6_Sub,,,,,,,,,
,VSA_EState7_Cat,,,,,,,,,
,VSA_EState7_Lig,,,,,,,,,
,VSA_EState7_Sol,,,,,,,,,
,VSA_EState7_Sub,,,,,,,,,
,VSA_EState8_Cat,,,,,,,,,
,VSA_EState8_Lig,,,,,,,,,
,VSA_EState8_Sol,,,,,,,,,
,VSA_EState8_Sub,,,,,,,,,
,VSA_EState9_Cat,,,,,,,,,
,VSA_EState9_Lig,,,,,,,,,
,VSA_EState9_Sol,,,,,,,,,
,VSA_EState9_Sub,,,,,,,,,
,Ligand_Barlan_L1,,,,,,,,,
,Ligand_Barlan_L2,,,,,,,,,
,Ligand_Barlan_L3,,,,,,,,,
,Ligand_Barlan_L4,,,,,,,,,
,Ligand_Barlan_L5,,,,,,,,,
,Ligand_Barlan_L6,,,,,,,,,
,Ligand_Bolm_L1,,,,,,,,,
,Ligand_Bolm_L2,,,,,,,,,
,Ligand_Bolm_L3,,,,,,,,,
,Ligand_Bolm_L4,,,,,,,,,
,Ligand_Bolm_L5,,,,,,,,,
,Ligand_Bourhani_L1,,,,,,,,,
,Ligand_Bourhani_L2,,,,,,,,,
,Ligand_Bourhani_L3,,,,,,,,,
,Ligand_Bryliakov_L1,,,,,,,,,
,Ligand_Ghaffari_L1,,,,,,,,,
,Ligand_Ghaffari_L2,,,,,,,,,
,Ligand_Ghaffari_L3,,,,,,,,,
,Ligand_Ghaffari_L4,,,,,,,,,
,Ligand_Ghaffari_L5,,,,,,,,,
,Ligand_Ghaffari_L6,,,,,,,,,
,Ligand_Ghaffari_L7,,,,,,,,,
,Ligand_Han_L1,,,,,,,,,
,Ligand_Han_L2,,,,,,,,,
,Ligand_Han_L3,,,,,,,,,
,Ligand_Han_L4,,,,,,,,,
,Ligand_Han_L5,,,,,,,,,
,Ligand_Makita_L1,,,,,,,,,
,Ligand_Makita_L10,,,,,,,,,
,Ligand_Makita_L11,,,,,,,,,
,Ligand_Makita_L12,,,,,,,,,
,Ligand_Makita_L13,,,,,,,,,
,Ligand_Makita_L14,,,,,,,,,
,Ligand_Makita_L15,,,,,,,,,
,Ligand_Makita_L16,,,,,,,,,
,Ligand_Makita_L17,,,,,,,,,
,Ligand_Makita_L2,,,,,,,,,
,Ligand_Makita_L3,,,,,,,,,
,Ligand_Makita_L4,,,,,,,,,
,Ligand_Makita_L5,,,,,,,,,
,Ligand_Makita_L6,,,,,,,,,
,Ligand_Makita_L7,,,,,,,,,
,Ligand_Makita_L8,,,,,,,,,
,Ligand_Makita_L9,,,,,,,,,
,Ligand_Malkov_L1,,,,,,,,,
,Ligand_Malkov_L2,,,,,,,,,
,Ligand_Malkov_L3,,,,,,,,,
,Ligand_Michaelson_L1,,,,,,,,,
,Ligand_Michaelson_L2,,,,,,,,,
,Ligand_Michaelson_L3,,,,,,,,,
,Ligand_Monfared_L1,,,,,,,,,
,Ligand_Murase_L1,,,,,,,,,
,Ligand_Murase_L2,,,,,,,,,
,Ligand_Murase_L3,,,,,,,,,
,Ligand_Pereira_L10,,,,,,,,,
,Ligand_Pereira_L11,,,,,,,,,
,Ligand_Pereira_L12,,,,,,,,,
,Ligand_Pereira_L13,,,,,,,,,
,Ligand_Pereira_L14,,,,,,,,,
,Ligand_Pereira_L15,,,,,,,,,
,Ligand_Pereira_L2,,,,,,,,,
,Ligand_Pereira_L3,,,,,,,,,
,Ligand_Pereira_L4,,,,,,,,,
,Ligand_Pereira_L5,,,,,,,,,
,Ligand_Pereira_L6,,,,,,,,,
,Ligand_Pereira_L7,,,,,,,,,
,Ligand_Pereira_L8,,,,,,,,,
,Ligand_Pereira_L9,,,,,,,,,
,Ligand_Zhang_B_L1,,,,,,,,,
,Ligand_Zhang_B_L2,,,,,,,,,
,Ligand_Zhang_B_L3,,,,,,,,,
,Ligand_Zhang_L1,,,,,,,,,
,Ligand_Zhang_L2,,,,,,,,,
,Ligand_Zhang_L3,,,,,,,,,
